3,1678987958693
7,1678987958697
11,1678987958698
15,1678987958698
2,1678987958698
6,1678987958698
10,1678987958699
14,1678987958699
1,1678987958699
5,1678987958700
9,1678987958700
13,1678987958700
0,1678987958701
4,1678987958701
8,1678987958701
12,1678987958702
3,1678987959203
7,1678987959203
11,1678987959204
15,1678987959204
2,1678987959204
6,1678987959205
10,1678987959205
14,1678987959205
1,1678987959205
5,1678987959206
9,1678987959206
13,1678987959206
0,1678987959207
4,1678987959207
8,1678987959207
12,1678987959207
3,1678987959709
7,1678987959710
11,1678987959710
15,1678987959711
2,1678987959711
6,1678987959711
10,1678987959711
14,1678987959712
1,1678987959712
5,1678987959712
9,1678987959713
13,1678987959713
0,1678987959713
4,1678987959713
8,1678987959714
12,1678987959714
3,1678987960215
7,1678987960216
11,1678987960216
15,1678987960216
2,1678987960217
6,1678987960217
10,1678987960217
14,1678987960217
1,1678987960218
5,1678987960218
9,1678987960218
13,1678987960218
0,1678987960219
4,1678987960219
8,1678987960219
12,1678987960219
